Order,Dual_Price_USD
1,2.9984
2,6.9104
3,5.852528
4,6.9104
5,2.9984
6,2.9984
7,2.9984
8,6.9104
9,4.9841296
10,2.9984
11,6.6945822
12,2.9984
13,2.9984
14,4.5463407
15,4.9698037
16,2.9984
17,2.9984
18,2.9984
19,2.9984
20,2.9984
21,6.9104
22,6.9104
23,2.9984
24,2.9984
25,1.396
26,4.0693506
27,6.9104
28,2.9984
29,6.9104
30,835.36433
31,3.802304
32,6.9104
33,6.9104
34,2.9984
35,6.9104
36,11.9992
37,2.9984
38,2.9984
39,8.7987363
40,2.9984
41,2.9984
42,6.9104
43,2.9984
44,2.9984
45,2.9984
46,1.4448
47,2.9984
48,2.9984
49,1.4928
50,2.9984
51,2.9984
52,2.9984
53,2.9984
54,2.9984
55,2.9984
56,2.9984
57,2.9984
58,2.9984
59,2.9984
60,4.477968
61,2.9984
62,11.7048
63,2.9984
64,3.2096163
65,2.9984
66,1.396
67,2.9984
68,2.9984
69,2.9984
70,2.3594309
71,2.9984
72,2.9984
73,16.544607
74,2.9984
75,6.9104
76,31.548981
77,2.9984
78,2.9984
79,2.9984
80,2.2131221
81,15.535937
82,2.9984
83,8.9941696
84,1.5416
85,2.9984
86,5.4170129
87,2.9984
88,2.9984
89,2.9984
90,2.9984
91,2.9984
92,2.6879125
93,6.9104
94,3.12664
95,2.9984
96,6.9104
97,4.0768
98,1.4928
99,7.8878616
100,2.9984
101,6.9104
102,6.7918589
103,2.9984
104,2.9984
105,2.9984
106,2.9984
107,2.9984
108,2.9984
109,2.9984
110,2.9984
111,6.9104
112,1.4448
113,2.9984
114,2.9984
115,2.9984
116,2.3759913
117,2.9984
118,4.764864
119,2.9984
120,2.9984
121,2.9984
122,7.0301428
123,2.9984
124,3.6312329
125,2.9984
126,2.9984
127,2.9984
128,3.341536
129,2.9984
130,2.9984
131,3.3064163
132,1.4928
133,2.9984
134,2.9984
135,2.9984
136,6.9104
137,2.9984
138,2.9984
139,2.9984
140,1.396
141,2.9984
142,2.9984
143,2.9984
144,2.9984
145,2.9984
146,2.9984
147,6.9104
148,2.9984
149,2.9984
150,2.9984
151,6.9104
152,3.3473167
153,2.9984
154,2.9984
155,2.9984
156,2.9984
157,2.9984
158,2.9984
159,6.5507507
160,2.9984
161,1.396
162,3.3700401
163,6.9104
164,2.9984
165,2.9984
166,2.9984
167,1.5416
168,2.9984
169,2.9984
170,1.5416
171,2.9984
172,2.9984
173,1.396
174,2.9984
175,12.361695
176,2.9984
177,1.4448
178,2.9984
179,6.9104
180,2.9984
181,6.9104
182,2.9984
183,2.9984
184,2.8752634
185,1.4448
186,2.9984
187,1.5416
188,1.4448
189,2.9984
190,2.9984
191,2.9984
192,1.5416
193,2.9984
194,2.9984
195,2.9984
196,2.9984
197,2.9984
198,6.9104
199,1.4448
200,2.9984
201,1.59
202,2.9984
203,6.9104
204,2.9984
205,2.9984
206,2.9984
207,2.9984
208,2.9984
209,6.9104
210,2.9984
211,2.9984
212,2.9984
213,2.9984
214,23.84576
215,2.9984
216,4.6570235
217,2.6122707
218,2.9984
219,2.9984
220,1.4448
221,2.9984
222,2.9984
223,2.9984
224,2.9984
225,1.396
226,2.9984
227,2.9984
228,1.396
229,3.5155601
230,2.9984
231,1.59
232,1.4928
233,2.9984
234,2.9984
235,2.9984
236,2.1731795
237,1.59
238,2.9984
239,2.9984
240,2.9984
241,8.659728
242,2.9984
243,6.9104
244,2.9984
245,2.9984
246,1.4928
247,4.541856
248,2.9984
249,2.9984
250,2.9984
251,2.9984
252,2.9984
253,2.9984
254,2.9984
255,2.9984
256,2.9984
257,2.9984
258,2.9984
259,29.49349
260,1.5416
261,6.9104
262,2.9984
263,2.9984
264,10.480093
265,2.9984
266,2.9984
267,2.9984
268,2.9984
269,6.9104
270,2.9984
271,6.9104
272,2.9984
273,2.9984
274,2.9984
275,2.2094054
276,5.4405897
277,2.9984
278,2.9984
279,1.59
280,2.9984
281,2.9984
282,2.9984
283,2.9984
284,2.9984
285,6.9104
286,1.4448
287,6.4974
288,2.9984
289,2.9984
290,2.9984
291,2.9984
292,2.9984
293,6.9104
294,2.9984
295,2.9984
296,2.9984
297,2.9984
298,2.9984
299,2.9984
300,2.9984
301,2.9984
302,6.9104
303,1.396
304,6.9104
305,2.9984
306,4.32276
307,2.9984
308,2.9984
309,2.9984
310,2.9984
311,2.9984
312,2.9984
313,2.9984
314,1.5416
315,2.9984
316,1.7193677
317,2.9984
318,2.9984
319,2.9984
320,2.9984
321,6.9104
322,2.9984
323,2.9984
324,2.9984
325,6.9104
326,1.4448
327,2.9984
328,2.9984
329,3.35552
330,2.9984
331,2.9984
332,1.5416
333,1.4928
334,2.9984
335,2.9984
336,2.9984
337,2.9984
338,1.4448
339,6.9104
340,6.9104
341,2.9984
342,2.9984
343,2.9984
344,2.9984
345,1.4928
346,28.0971
347,2.9984
348,6.9104
349,2.9984
350,2.9984
351,2.9984
352,2.9984
353,2.9984
354,117.67383
355,2.9984
356,2.9984
357,2.9984
358,2.9984
359,6.9104
360,2.9984
361,3.8002025
362,2.9984
363,2.9984
364,4.776112
365,2.9984
366,1.59
367,2.9984
368,2.9984
369,2.9984
370,6.9104
371,6.9104
372,2.9984
373,2.9984
374,2.9984
375,2.9984
376,2.9984
377,2.9984
378,1.396
379,2.9984
380,2.9984
381,2.9984
382,2.9984
383,24.081703
384,2.9984
385,2.9984
386,6.9104
387,2.9984
388,1.4448
389,2.9984
390,2.9984
391,6.9104
392,2.9984
393,2.9984
394,1.8219673
395,2.9984
396,3.8757506
397,2.9984
398,2.9984
399,5.981633
400,2.9984
401,1.4448
402,2.9984
403,2.9984
404,2.9984
405,1.4448
406,1.5416
407,6.9104
408,2.9984
409,2.9984
410,2.9984
411,2.9984
412,2.9984
413,2.9984
414,4.5621302
415,2.9984
416,2.9984
417,2.9984
418,2.9984
419,2.9984
420,2.9984
421,4.9455174
422,5.0367669
423,1.5416
424,2.1731795
425,2.9984
426,4.8092704
427,6.9104
428,1.7468085
429,3.0000864
430,58.836914
431,5.407248
432,2.9984
433,7.9796202
434,2.9984
435,2.9984
436,1.5416
437,2.9984
438,2.9984
439,2.9984
440,6.9104
441,2.9984
442,2.9984
443,6.9104
444,2.9984
445,2.9984
446,2.9984
447,6.9104
448,2.9984
449,2.9984
450,2.9984
451,2.9984
452,6.9104
453,2.9984
454,2.9984
455,2.9984
456,2.9984
457,2.9984
458,2.9984
459,2.9984
460,2.9984
461,1.396
462,2.9984
463,2.9984
464,2.9984
465,2.9984
466,2.9984
467,6.6511161
468,2.9984
469,6.322976
470,2.9984
471,2.9984
472,2.9984
473,2.9984
474,1.4928
475,2.9984
476,6.9104
477,2.9984
478,1.396
479,2.9984
480,2.9984
481,1.4448
482,2.9984
483,11.7048
484,2.9984
485,3.4346042
486,2.9984
487,6.9104
488,2.9984
489,2.9984
490,6.9104
491,8.4362367
492,2.9984
493,2.9984
494,1.396
495,2.9984
496,2.9984
497,2.9984
498,2.9984
499,6.9104
500,2.9984
